field_r         Z01	        Z02	        Z03	       Z04	       Z05	      Z06	        Z07	        Z08     	Z09	       Z10	        Z11
        0.435000        0.373133       -0.000726       -0.968589        0.162891        0.000383       -0.103224       -0.232675       -0.000257       -0.202141       -0.000014       -0.012915
        0.440000        0.367480       -0.000725       -0.982965        0.163246        0.000388       -0.075741       -0.235165       -0.000257       -0.212747       -0.000015       -0.009933
        0.445000        0.359416       -0.000724       -0.996760        0.162390        0.000393       -0.046762       -0.237368       -0.000256       -0.223857       -0.000015       -0.006802
        0.450000        0.348809       -0.000723       -1.009912        0.160255        0.000398       -0.016270       -0.239257       -0.000256       -0.235495       -0.000015       -0.003515
        0.455000        0.335529       -0.000722       -1.022356        0.156775        0.000403        0.015755       -0.240806       -0.000256       -0.247685       -0.000015       -0.000065
        0.460000        0.319443       -0.000722       -1.034021        0.151884        0.000408        0.049329       -0.241984       -0.000255       -0.260452       -0.000016        0.003555
        0.465000        0.300419       -0.000721       -1.044835        0.145514        0.000413        0.084466       -0.242763       -0.000255       -0.273823       -0.000016        0.007354
        0.470000        0.278322       -0.000720       -1.054718        0.137598        0.000419        0.121178       -0.243109       -0.000255       -0.287826       -0.000016        0.011341
        0.475000        0.253019       -0.000719       -1.063590        0.128071        0.000424        0.159474       -0.242988       -0.000254       -0.302489       -0.000016        0.015525
        0.480000        0.224377       -0.000718       -1.071363        0.116867        0.000429        0.199361       -0.242364       -0.000254       -0.317844       -0.000017        0.019915
        0.485000        0.192261       -0.000717       -1.077946        0.103920        0.000434        0.240845       -0.241199       -0.000254       -0.333922       -0.000017        0.024521
        0.490000        0.156537       -0.000716       -1.083242        0.089166        0.000439        0.283926       -0.239453       -0.000253       -0.350758       -0.000017        0.029354
        0.495000        0.117074       -0.000715       -1.087150        0.072542        0.000444        0.328603       -0.237084       -0.000253       -0.368385       -0.000018        0.034424
        0.500000        0.073738       -0.000714       -1.089561        0.053984        0.000449        0.374872       -0.234046       -0.000253       -0.386842       -0.000018        0.039744
